Question,Answer
"Which country has <strong>Reykjavik</strong> as its capital?","Iceland"
"What's the capital of <strong>Ireland</strong>?","Dublin"
"What country is this?<br><br><img src='assets/images/maps/GB.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","United Kingdom"
"What's the capital of <strong>Hungary</strong>?","Budapest"
"What's the capital of <strong>Iceland</strong>?","Reykjavik"
"What country is this?<br><br><img src='assets/images/maps/IE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Ireland"
"Which country has <strong>London</strong> as its capital?","United Kingdom"
"What country is this?<br><br><img src='assets/images/maps/HU.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Hungary"
"What country is this?<br><br><img src='assets/images/maps/IS.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Iceland"
"Which country has <strong>Dublin</strong> as its capital?","Ireland"
"What's the capital of <strong>United Kingdom</strong>?","London"
"Which country has <strong>Budapest</strong> as its capital?","Hungary"
"What country is this?<br><br><img src='assets/images/maps/PT.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Portugal"
"Which country has <strong>Brussels</strong> as its capital?","Belgium"
"What country is this?<br><br><img src='assets/images/maps/RS.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Serbia"
"Which country has <strong>Amsterdam</strong> as its capital?","Netherlands"
"What's the capital of <strong>Portugal</strong>?","Lisbon"
"What's the capital of <strong>Belgium</strong>?","Brussels"
"What's the capital of <strong>Serbia</strong>?","Belgrade"
"What's the capital of <strong>Netherlands</strong>?","Amsterdam"
"Which country has <strong>Lisbon</strong> as its capital?","Portugal"
"What country is this?<br><br><img src='assets/images/maps/BE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Belgium"
"Which country has <strong>Belgrade</strong> as its capital?","Serbia"
"What country is this?<br><br><img src='assets/images/maps/NL.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Netherlands"
"What's the capital of <strong>Spain</strong>?","Madrid"
"What country is this?<br><br><img src='assets/images/maps/HR.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Croatia"
"What's the capital of <strong>Romania</strong>?","Bucharest"
"What's the capital of <strong>Norway</strong>?","Oslo"
"Which country has <strong>Madrid</strong> as its capital?","Spain"
"What's the capital of <strong>Croatia</strong>?","Zagreb"
"What country is this?<br><br><img src='assets/images/maps/RO.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Romania"
"Which country has <strong>Oslo</strong> as its capital?","Norway"
"What country is this?<br><br><img src='assets/images/maps/ES.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Spain"
"Which country has <strong>Zagreb</strong> as its capital?","Croatia"
"Which country has <strong>Bucharest</strong> as its capital?","Romania"
"What country is this?<br><br><img src='assets/images/maps/NO.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Norway"
"What country is this?<br><br><img src='assets/images/maps/AT.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Austria"
"What country is this?<br><br><img src='assets/images/maps/IT.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Italy"
"Which country has <strong>Sofia</strong> as its capital?","Bulgaria"
"What's the capital of <strong>France</strong>?","Paris"
"Which country has <strong>Vienna</strong> as its capital?","Austria"
"Which country has <strong>Rome</strong> as its capital?","Italy"
"What's the capital of <strong>Bulgaria</strong>?","Sofia"
"What country is this?<br><br><img src='assets/images/maps/FR.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","France"
"What's the capital of <strong>Austria</strong>?","Vienna"
"What's the capital of <strong>Italy</strong>?","Rome"
"What country is this?<br><br><img src='assets/images/maps/BG.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Bulgaria"
"Which country has <strong>Paris</strong> as its capital?","France"
"What country is this?<br><br><img src='assets/images/maps/FI.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Finland"
"What's the capital of <strong>Switzerland</strong>?","Bern"
"What country is this?<br><br><img src='assets/images/maps/PL.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Poland"
"What country is this?<br><br><img src='assets/images/maps/GR.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Greece"
"What's the capital of <strong>Finland</strong>?","Helsinki"
"What country is this?<br><br><img src='assets/images/maps/CH.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Switzerland"
"Which country has <strong>Warsaw</strong> as its capital?","Poland"
"What's the capital of <strong>Greece</strong>?","Athens"
"Which country has <strong>Helsinki</strong> as its capital?","Finland"
"Which country has <strong>Bern</strong> as its capital?","Switzerland"
"What's the capital of <strong>Poland</strong>?","Warsaw"
"Which country has <strong>Athens</strong> as its capital?","Greece"
"What country is this?<br><br><img src='assets/images/maps/DE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Germany"
"What country is this?<br><br><img src='assets/images/maps/SE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Sweden"
"What country is this?<br><br><img src='assets/images/maps/DK.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Denmark"
"Which country has <strong>Prague</strong> as its capital?","Czech Republic (Czechia)"
"What's the capital of <strong>Germany</strong>?","Bonn"
"What's the capital of <strong>Sweden</strong>?","Stockholm"
"What's the capital of <strong>Denmark</strong>?","Copenhagen"
"What's the capital of <strong>Czech Republic (Czechia)</strong>?","Prague"
"Which country has <strong>Bonn</strong> as its capital?","Germany"
"Which country has <strong>Stockholm</strong> as its capital?","Sweden"
"Which country has <strong>Copenhagen</strong> as its capital?","Denmark"
"What country is this?<br><br><img src='assets/images/maps/CZ.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Czechia"